FirstName,LastName,BirthDate,CurrentStateProvince,StatesProvinces
Dion,Kunde,1963-06-21,OR,OR-RI
Alonso,Feest,1994-01-03,AZ,AZ-GA-NM
Van,Morar,1965-06-22,MN,MN
Tracy,Schimmel,1957-04-09,MO,MO-VA-KY-MS
Jake,Harber,1969-02-04,CO,CO-AL-SC-MI-NY
Jamey,Sauer,1973-03-11,OR,OR-MD-FL-GA
Charley,Collier,1962-05-08,DE,DE-MN
Raphael,Greenholt,1998-11-05,MI,MI-NM
Willis,Beer,1994-10-22,NC,NC-PA-ND
Dorene,Schneider,1986-06-20,VT,VT-IL
Willian,Stokes,1975-05-30,NJ,NJ-SC-GA-NE
Sha,Reichel,1976-03-30,DE,DE-IL-ME-KY-OH
Jeffry,Abernathy,1963-05-19,IL,IL-OH-WV-OR
Leida,Mills,1967-09-07,RI,RI-MD-UT
Marquerite,Schowalter,1959-05-05,OK,OK-CO
Willard,Grimes,1985-11-08,WI,WI-RI
Louann,Abbott,1979-03-07,GA,GA-MI-CO
Bulah,Toy,1994-11-10,NE,NE
Tina,Smitham,1991-12-15,VA,VA-MI
Demetrius,Mertz,1993-07-09,WY,WY-NC-NE-RI-KS
Edmund,Blanda,1958-05-03,SC,SC-NJ-DE-SC-WV
Karly,Osinski,2002-06-12,AR,AR-OR
Alex,Hauck,1999-07-28,RI,RI-MO-NJ
Adrian,Trantow,1972-08-21,WI,WI-WV-SC
Emilie,Hane,1988-09-24,KS,KS
Bruce,Braun,1981-04-03,SC,SC
Ramonita,Mosciski,1995-07-21,ND,ND-WA
Micha,Nitzsche,1974-01-08,WV,WV-IN-NE-NE
Brian,Auer,1967-05-17,OR,OR-TX-MA-IL
Woodrow,Block,1993-11-24,DE,DE-MD-MA-OH
Elvin,Bednar,1970-05-20,AZ,AZ
Lowell,Stamm,1997-03-31,NC,NC-AK
Serafina,Medhurst,1979-03-30,AL,AL-NE
Erick,Langosh,1975-12-10,ID,ID-AK-MI
Ramona,Effertz,1973-05-17,AR,AR-VT-KS-WY-PA
Melynda,Wehner,1974-05-31,NE,NE
Vilma,Ratke,1990-11-02,MN,MN
Debrah,Jast,1968-05-14,RI,RI-WY-NJ-WA-GA
